time,frame_id,fps,camera_us,vidConv_us,enc_us,rtpPay_us,udpStream_us,rtpDepay_us,dec_us,presentation_us,total_latency_us
2026-01-26 16:29:19.322084701,19592,46.21072088724584,13695,2041,4178,98,14776,39,22651,3972,61450
2026-01-26 16:29:19.324430624,19592,46.21072088724584,13695,2041,4178,98,14776,39,22651,17889,75367
2026-01-26 16:29:19.325222946,19593,47.66444232602478,15076,2940,653,86,78359,85,22651,10848,130698
2026-01-26 16:29:19.338279466,19593,47.66444232602478,15076,2940,653,86,78359,85,5226,24801,127226
2026-01-26 16:29:19.377859027,19593,105.16352928804291,15076,2940,653,86,101594,99,3047,183,123678
2026-01-26 16:29:19.378685046,19595,75.642965204236,14330,2856,9699,114,52665,81,7052,793,87590
2026-01-26 16:29:19.379506552,19595,68.17562039814563,14330,2856,9699,114,52665,81,7052,49,86846
2026-01-26 16:29:19.409773303,19600,68.17562039814563,15837,2150,5854,87,3589,37,5608,13926,47088
2026-01-26 16:29:19.411177619,19600,41.378739603591676,15837,2150,5854,87,3589,37,5608,3687,36849
2026-01-26 16:29:19.422113025,19600,81.45975887911372,15837,2150,5854,87,3589,37,5608,5329,38491
2026-01-26 16:29:19.450514705,19600,72.87036362311449,15837,2150,5854,87,3589,37,5608,5554,38716
2026-01-26 16:29:19.451554013,19600,70.30865499542993,15837,2150,5854,87,3589,55588,5673,5185,93963
2026-01-26 16:29:19.481279878,19602,70.30865499542993,18596,4068,7324,96,31893,111,5673,19148,86909
2026-01-26 16:29:19.484706486,19602,30.311297020399504,18596,4068,7324,96,31893,111,22559,88,84735
2026-01-26 16:29:19.487173215,19602,30.311297020399504,18596,4068,7324,96,31893,111,22559,13977,98624
2026-01-26 16:29:19.517416765,19604,62.2626237469647,16301,2256,10735,103,40285,115,7697,11876,89368
2026-01-26 16:29:19.518039831,19604,69.48304613674263,16301,2256,10735,103,40285,115,13062,11409,94266
2026-01-26 16:29:19.529756294,19604,60.87909411907951,16301,2256,10735,103,40285,115,13062,8847,91704
2026-01-26 16:29:19.543158589,19609,58.76821814762577,17110,2130,6033,87,9846,101,13062,5847,54216
2026-01-26 16:29:19.590567313,19609,83.94191219675984,17110,2130,6033,87,9846,101,14878,7786,57971
2026-01-26 16:29:19.590833564,19609,67.68189509306261,17110,2130,6033,87,9846,101,23677,6955,65939
